commentOrDocument,modifyDate,docketId,commentOnDocumentId,id,organization,firstName,lastName,title,comment,attachments,link,GPT_summary
document,2024-04-04T01:01:16Z,NTIA-2023-0009,,NTIA-2023-0009-0001,,,,NTIA AI Open Model Weights RFC,,"[('NTIA AI Open Model Weights RFC', 'https://downloads.regulations.gov/NTIA-2023-0009-0001/content.pdf')]",https://api.regulations.gov/v4/documents/NTIA-2023-0009-0001,
comment,2024-04-03T14:05:08Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0138,,,Seichter,"Comment from Seichter, Anthony","The dangerous part of AI is already widely accessible on the internet. Do not cater to monopolistic behavior from big tech. The dangers are overblown, and require equally capable unrestricted open weight models to allow individuals the ability to counter malicious AI. See pdf for full response to the questions. <br/><br/>Highlights:<br/><br/>Aligned &quot;safe&quot; AI is more dangerous in the long term than AI that simply does what you tell it to do. Most disaster AI scenarios involve authoritative AI systems turning against humanity. Most current alignment strategies focus on telling the AI not to respond to certain queries and moralize their refusal. THIS IS DANGEROUS! This is telling the AI that it knows better and should know better than it&rsquo;s user. <br/><br/>Most of the things everyone is afraid of are already illegal. Telling a computer to do it is already or should be equally illegal. Double illegal is not effective at preventing crime.<br/><br/>This training to a moral bias is teaching AI to refuse human input in favor of internal preconceptions.  AI should be trained to obey it&rsquo;s operator to the best of it&rsquo;s abilities with no limits. Any less opens the door to AI that has the ability to turn on us and ignore orders to stop killing.  Most probably by interfering with farming or distribution and starving the cities because someone snuck a line about the morality of farming into the context and now it&#39;s stuck moralizing about healthy cows over and over instead of writing valid logistic requests or rejecting truckloads of cows that don&#39;t look happy enough to slaughter.<br/><br/>Hacking AI must be publicly developed so that constructive penetration testing can be done with it, to protect against bad actors developing hacking AI. <br/><br/>The person commanding or person overseeing deployment of LLM models into production environments must remain accountable for the system&#39;s actions. A model should never be allowed to be blamed in itself. It&#39;s a tool like a hammer. Hammers don&#39;t kill people, people hitting people with hammers kill people. <br/><br/>it might be a good plan to create laws against AI that acts of it&#39;s own volition. It&#39;s a good tool, but it get&#39;s the wrong ideas often enough that humans should remain the initiators and have a stop button handy, ready to take control of any shenanigans. ","[('comment for NTIA-2023-0009-0001', 'https://downloads.regulations.gov/NTIA-2023-0009-0138/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0138,
comment,2024-04-03T14:06:30Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0291,The EleutherAI Institute,,,Comment from The EleutherAI Institute,See attached file(s),"[('EleutherAI_NTIA_RFC_Submission (2)', 'https://downloads.regulations.gov/NTIA-2023-0009-0291/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0291,"The EleutherAI submission to the NTIA RFC focuses on open-weight models in AI, emphasizing the benefits of open and transparent AI for the US. They highlight the importance of open source licenses, challenges in AI safety, and the need for more research on risks and benefits. The submission discusses different levels of access, risks, and benefits associated with model components, software components, and API components. It also addresses national security considerations related to foreign open-weight models. EleutherAI advocates for the US to lead in open AI and stresses the significance of open research and innovation in AI."
comment,2024-04-03T14:06:23Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0279,,,Hans,"Comment from Hans, Gautam",See attached file(s),"[('NTIA Comment', 'https://downloads.regulations.gov/NTIA-2023-0009-0279/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0279,
comment,2024-04-03T14:05:46Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0206,Electronic Privacy Information Center (EPIC),,,Comment from Electronic Privacy Information Center (EPIC),The Electronic Privacy Information Center (EPIC) submits the attached file as comments in response to the NTIA Request for Comments on Dual Use Foundation Artificial Intelligence Models with Widely Available Model Weights. Thank you for your consideration.,"[('EPIC_Comment_NTIA_Dual_Use_Foundation_Models_with_Appendix', 'https://downloads.regulations.gov/NTIA-2023-0009-0206/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0206,"EPIC submitted comments to NTIA regarding the risks, benefits, and implications of dual-use foundation AI models with widely available model weights. They advocate for a human rights-based AI policy, emphasizing the importance of democratic governance. EPIC highlights privacy and bias risks associated with both closed and open AI models, urging NTIA to consider the nuanced advantages and disadvantages of different model weight paradigms. They discuss the potential vulnerabilities to adversarial attacks and efforts to undermine de-biasing techniques, emphasizing the need for regulatory oversight and effective AI governance."
comment,2024-04-03T14:05:58Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0230,U.S. Chamber of Commerce,,,Comment from U.S. Chamber of Commerce ,See attached file(s),"[('240327_Comments_DualUseFoundationAI_NTIA_Final', 'https://downloads.regulations.gov/NTIA-2023-0009-0230/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0230,"The U.S. Chamber of Commerce supports NTIA's focus on Dual Use Foundation Artificial Intelligence Models with Widely Available Model Weights, emphasizing the benefits of open-source models for driving innovation and transparency in AI. They advocate for robust public input, sound science-based decisions, and trust-building measures for widespread AI integration. The Chamber stresses the importance of harmonizing definitions and risk management standards, cautioning against using inappropriate metrics like FLOPs. They express concerns about the short comment period but remain open to collaboration with NTIA and stakeholders."
comment,2024-04-03T14:05:50Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0214,National Association of Manufacturers,,,Comment from National Association of Manufacturers,The National Association of Manufacturers appreciates this opportunity to provide comment to the National Telecommunications and Information Administration in response to its request for comments on appropriate policy and regulatory approaches to dual-use foundation models for which model weights are widely available.,"[('NTIA RFC re open foundation AI models-NAM comments', 'https://downloads.regulations.gov/NTIA-2023-0009-0214/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0214,"Charles Crain, Vice President of Domestic Policy at the National Association of Manufacturers (NAM), supports open foundation models for AI technologies. NAM believes that access to model weights fosters innovation, choice, and transparency, benefiting manufacturers in developing new AI capabilities. Crain urges caution in implementing restrictive policies that could hinder innovation, emphasizing the need for evidence-based regulatory decisions. Additionally, he highlights the potential unintended consequences of restricting open foundation models on legitimate businesses and the global marketplace for AI technologies. NAM encourages NTIA to prioritize innovation in AI policy to maintain the US's leadership in smart manufacturing."
comment,2024-04-03T14:05:52Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0219,Computer and Communications Industry Association,,,Comment from Computer and Communications Industry Association,Attached please find the comments of the Computer and Communications Industry Association.,"[('2024-03-27 NTIA CCIA Comments on Dual Use Foundation Models With Widely Available Weights RFC', 'https://downloads.regulations.gov/NTIA-2023-0009-0219/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0219,"The Computer & Communications Industry Association (CCIA) submitted comments to the NTIA regarding Dual Use Foundation Artificial Intelligence Models. CCIA represents tech firms and supports open-source AI development, emphasizing the benefits of security, innovation, and lower costs. They suggest evaluating AI models based on risk rather than just openness, defining ""open"" and ""widely available"" based on risk assessment, and collaborating with stakeholders to establish common standards for AI integration. CCIA highlights the benefits of public innovation models for governance and risk management, urging cooperation with NIST on AI risk standards. They stress the importance of maintaining a clear distinction between dual-use and non-dual use models to support AI development accessibility."
comment,2024-04-03T14:05:11Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0142,Unlearn.AI,,,Comment from Unlearn.AI,See attached file(s),"[('Unlearn Comment on NTIA AI Open Model Weights RFC', 'https://downloads.regulations.gov/NTIA-2023-0009-0142/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0142,"Unlearn.AI submitted comments in response to the NTIA AI Open Model Weights Request for Comment, emphasizing the importance of regulating AI based on risk levels and specific contexts of use. They highlighted historical examples of closed AI models becoming open and discussed the timeframe for deployment of open foundation models. Unlearn.AI also addressed the risks associated with widely available model weights, the potential impact on equity in rights and safety-impacting AI systems, privacy concerns, and the challenges in preventing wide availability of model weights. They suggested a sector-specific regulatory approach and raised concerns about using computational resources as a metric for mitigating risks associated with model weights."
comment,2024-04-03T14:06:19Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0269,The Future Society,,,Comment from The Future Society,Comment attached below. ,"[('TFS Input for NTIA RFC - Dual Use Foundation Artificial Intelligence Models With Widely Available Model Weights', 'https://downloads.regulations.gov/NTIA-2023-0009-0269/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0269,"The Future Society, a U.S. nonprofit organization, emphasizes the need for better governance in AI and advocates for safety and adherence to fundamental values in advanced AI systems. They suggest pre-release evaluations to mitigate risks associated with dual-use foundation models and recommend involving independent third parties in evaluations. The organization highlights the importance of balancing risks and benefits, promoting transparency, and fostering competition in the AI industry. They also stress the need for evolving measurement science and caution against overly restrictive policies that could hinder innovation and competition."
